layer,idx,mse_baseline,mse_after_delta
3,5,177.3144073486328,177.3144073486328
3,6,5.365104675292969,4.644462585449219
3,7,37.40047073364258,36.133331298828125
3,8,34.841434478759766,34.841434478759766
3,9,15.548050880432129,11.608887672424316
3,10,207.62046813964844,207.62046813964844
3,11,160.84567260742188,152.39894104003906
3,12,66.68094635009766,66.68094635009766
3,13,92.66178131103516,92.66178131103516
3,14,54.130672454833984,54.130672454833984
3,15,177.3144073486328,177.3144073486328
4,0,207.62046813964844,142.54013061523438
4,1,160.84567260742188,120.30728149414062
4,2,66.68094635009766,66.68094635009766
4,3,92.66178131103516,92.66178131103516
4,4,54.130672454833984,54.130672454833984
4,5,177.3144073486328,177.3144073486328
4,6,5.365104675292969,5.365104675292969
4,7,37.40047073364258,37.40047073364258
4,8,34.841434478759766,34.841434478759766
4,9,15.548050880432129,15.548050880432129
4,10,207.62046813964844,142.54013061523438
4,11,160.84567260742188,120.30728149414062
4,12,66.68094635009766,66.68094635009766
4,13,92.66178131103516,92.66178131103516
4,14,54.130672454833984,54.130672454833984
4,15,177.3144073486328,177.3144073486328
5,0,207.62046813964844,193.70095825195312
5,1,160.84567260742188,134.19378662109375
5,2,66.68094635009766,66.68094635009766
5,3,92.66178131103516,92.66178131103516
5,4,54.130672454833984,54.130672454833984
5,5,177.3144073486328,169.82701110839844
5,6,5.365104675292969,4.759100437164307
5,7,37.40047073364258,37.40047073364258
5,8,34.841434478759766,34.841434478759766
5,9,15.548050880432129,11.00709342956543
5,10,207.62046813964844,193.70095825195312
5,11,160.84567260742188,134.19378662109375
5,12,66.68094635009766,66.68094635009766
5,13,92.66178131103516,92.66178131103516
5,14,54.130672454833984,54.130672454833984
5,15,177.3144073486328,169.82701110839844
6,0,207.62046813964844,166.73867797851562
6,1,160.84567260742188,140.7337646484375
6,2,66.68094635009766,66.68094635009766
6,3,92.66178131103516,92.66178131103516
6,4,54.130672454833984,54.130672454833984
6,5,177.3144073486328,177.3144073486328
6,6,5.365104675292969,4.767232894897461
6,7,37.40047073364258,36.330169677734375
6,8,34.841434478759766,32.77387619018555
6,9,15.548050880432129,13.112707138061523
6,10,207.62046813964844,166.73867797851562
6,11,160.84567260742188,140.7337646484375
6,12,66.68094635009766,66.68094635009766
6,13,92.66178131103516,92.66178131103516
6,14,54.130672454833984,54.130672454833984
6,15,177.3144073486328,177.3144073486328
7,0,207.62046813964844,165.18223571777344
7,1,160.84567260742188,159.84115600585938
7,2,66.68094635009766,61.37489318847656
7,3,92.66178131103516,92.66178131103516
7,4,54.130672454833984,45.25279998779297
7,5,177.3144073486328,148.74420166015625
7,6,5.365104675292969,5.339688777923584
7,7,37.40047073364258,37.40047073364258
7,8,34.841434478759766,22.096792221069336
7,9,15.548050880432129,15.548050880432129
7,10,207.62046813964844,165.18223571777344
7,11,160.84567260742188,159.84115600585938
7,12,66.68094635009766,61.37489318847656
7,13,92.66178131103516,92.66178131103516
7,14,54.130672454833984,45.25279998779297
7,15,177.3144073486328,148.74420166015625
8,0,207.62046813964844,168.4469757080078
8,1,160.84567260742188,152.5125274658203
8,2,66.68094635009766,58.17298126220703
8,3,92.66178131103516,92.66178131103516
8,4,54.130672454833984,51.14907455444336
8,5,177.3144073486328,154.78099060058594
8,6,5.365104675292969,5.365104675292969
8,7,37.40047073364258,33.42071533203125
8,8,34.841434478759766,21.89200210571289
8,9,15.548050880432129,15.548050880432129
8,10,207.62046813964844,168.4469757080078
8,11,160.84567260742188,152.5125274658203
8,12,66.68094635009766,58.17298126220703
8,13,92.66178131103516,92.66178131103516
8,14,54.130672454833984,51.14907455444336
8,15,177.3144073486328,154.78099060058594
9,0,207.62046813964844,171.642822265625
9,1,160.84567260742188,156.8856201171875
9,2,66.68094635009766,57.61648178100586
9,3,92.66178131103516,92.66178131103516
9,4,54.130672454833984,48.61759567260742
9,5,177.3144073486328,157.34597778320312
9,6,5.365104675292969,5.365104675292969
9,7,37.40047073364258,29.66014862060547
9,8,34.841434478759766,25.37765884399414
9,9,15.548050880432129,15.548050880432129
9,10,207.62046813964844,171.642822265625
9,11,160.84567260742188,156.8856201171875
9,12,66.68094635009766,57.61648178100586
9,13,92.66178131103516,92.66178131103516
9,14,54.130672454833984,48.61759567260742
9,15,177.3144073486328,157.34597778320312
10,0,207.62046813964844,110.01665496826172
10,1,160.84567260742188,160.84567260742188
10,2,66.68094635009766,40.65141296386719
10,3,92.66178131103516,66.98011779785156
10,4,54.130672454833984,31.951982498168945
10,5,177.3144073486328,115.96315002441406
10,6,5.365104675292969,5.365104675292969
10,7,37.40047073364258,18.396286010742188
10,8,34.841434478759766,12.904744148254395
10,9,15.548050880432129,15.548050880432129
10,10,207.62046813964844,110.01665496826172
10,11,160.84567260742188,160.84567260742188
10,12,66.68094635009766,40.65141296386719
10,13,92.66178131103516,66.98011779785156
10,14,54.130672454833984,31.951982498168945
10,15,177.3144073486328,115.96315002441406
11,0,207.62046813964844,103.45841217041016
11,1,160.84567260742188,160.84567260742188
11,2,66.68094635009766,43.58409881591797
11,3,92.66178131103516,75.47451782226562
11,4,54.130672454833984,34.886390686035156
11,5,177.3144073486328,103.7313003540039
11,6,5.365104675292969,5.365104675292969
11,7,37.40047073364258,17.02397346496582
11,8,34.841434478759766,13.600946426391602
11,9,15.548050880432129,15.548050880432129
11,10,207.62046813964844,103.45841217041016
11,11,160.84567260742188,160.84567260742188
11,12,66.68094635009766,43.58409881591797
11,13,92.66178131103516,75.47451782226562
11,14,54.130672454833984,34.886390686035156
11,15,177.3144073486328,103.7313003540039
